appid,total_reviews,pos_reviews,neg_reviews
1716120,559,497,62
1665460,27096,3864,23232
1659040,1131,639,492
1651960,1960,1590,370
1647730,72,70,2
1634150,2546,2471,75
1622100,2734,2515,219
1611940,367,219,148
1608550,85,57,28
1591530,863,722,141
1586880,80,67,13
1585820,545,494,51
1579380,1384,1259,125
1569040,10255,9489,766
1556870,377,329,48
1552350,763,698,65
1551360,59816,51743,8073
1549970,13242,10803,2439
1548750,123,107,16
1546920,263,242,21
1530770,138,53,85
1529550,116,67,49
1522820,7361,6234,1127
1522650,188,115,73
1522140,88,73,15
1517970,302,246,56
1517290,122052,35155,86897
1506510,881,849,32
1484900,1467,1326,141
1484280,1062,974,88
1480560,1113,851,262
1471960,108,104,4
1466860,28899,25458,3441
1466640,7028,6473,555
1462810,1132,801,331
1462570,873,808,65
1458100,3842,3434,408
1452500,180,149,31
1451120,124,109,15
1449320,89,73,16
1436920,123,113,10
1426210,70582,67881,2701
1423600,364,344,20
1422420,261,245,16
1422410,111,83,28
1419290,127,120,7
1414850,4427,3608,819
1413870,754,715,39
1413480,2011,1766,245
1406850,1381,1341,40
1400970,433,213,220
1393750,634,541,93
1393111,157,138,19
1388880,13591,13138,453
1388590,2663,2503,160
1386870,53,30,23
1386780,680,509,171
1385100,359,325,34
1384160,24324,22210,2114
1382330,8822,8226,596
1380420,977,847,130
1374840,1593,1241,352
1369520,459,433,26
1368870,239,208,31
1368571,36,29,7
1367590,2967,2803,164
1361400,250,179,71
1341050,246,152,94
1338770,4877,4127,750
1337530,154,146,8
1337100,139,98,41
1336350,7079,2390,4689
1335800,92,65,27
1335790,3314,3009,305
1333470,360,313,47
1331210,246,232,14
1328670,24642,22966,1676
1325900,177,162,15
1311070,544,438,106
1308880,63,40,23
1307580,647,640,7
1306630,2759,2518,241
1304340,472,295,177
1303950,325,314,11
1301950,170,164,6
1301210,5996,5268,728
1299360,477,408,69
1297330,445,411,34
1297300,929,702,227
1296980,50,47,3
1296360,1057,964,93
1295790,244,214,30
1295500,2238,2034,204
1293160,6013,5358,655
1289380,1314,673,641
1287840,1845,1441,404
1283410,3533,3227,306
1282730,26098,24602,1496
1281590,3836,3424,412
1280300,170,147,23
1277400,12142,9840,2302
1276790,7086,6354,732
1272160,3545,3277,268
1272070,136,133,3
1271700,2930,2410,520
1271400,763,729,34
1265820,1722,1626,96
1263070,1175,799,376
1259420,30188,28187,2001
1258220,268,212,56
1257290,1860,1709,151
1252330,19437,15151,4286
1248130,21979,19125,2854
1246250,139,130,9
1244460,8524,6756,1768
1243890,195,148,47
1243690,74,43,31
1240440,127403,99447,27956
1233590,834,539,295
1229460,704,502,202
1229380,7066,6818,248
1227690,1239,1164,75
1222370,4107,2941,1166
1220150,1577,1291,286
1209410,556,322,234
1206060,1246,1136,110
1205480,148,116,32
1205450,5029,4745,284
1203220,87742,69834,17908
1198590,74,65,9
1196590,69131,66293,2838
1196470,1038,795,243
1195290,2742,2618,124
1191900,457,419,38
1187840,53,45,8
1184760,185,161,24
1184370,16958,14437,2521
1182620,6682,6453,229
1178830,25636,23909,1727
1172650,837,648,189
1170060,514,489,25
1167140,867,728,139
1158890,203,165,38
1158850,2626,2537,89
1158370,1785,1281,504
1157220,899,721,178
1153640,973,851,122
1147560,30503,28609,1894
1139280,212,210,2
1138660,2896,2754,142
1137450,214,178,36
1137300,1058,897,161
1135690,7494,6894,600
1135300,4024,2568,1456
1134570,23832,20200,3632
1129580,23752,21546,2206
1127500,11720,11255,465
1124300,17937,12449,5488
1123770,5198,4552,646
1123450,1409,1387,22
1123050,2710,2328,382
1122690,113,82,31
1122680,642,601,41
1121780,194,112,82
1119980,806,766,40
1118240,1606,1397,209
1113560,16468,14520,1948
1108590,1388,1150,238
1106830,81,79,2
1097200,5324,3901,1423
1096530,9760,8791,969
1094730,164,106,58
1093290,206,199,7
1092790,56722,55094,1628
1088850,17972,17162,810
1082430,6897,6776,121
1079830,281,178,103
1076200,2103,1793,310
1075200,316,278,38
1073910,871,706,165
1069690,1126,842,284
1069530,809,657,152
1063730,217245,149687,67558
1062110,619,591,28
1049710,298,245,53
1045180,491,360,131
1040420,2111,1924,187
1040230,2337,2088,249
1038370,2476,2196,280
1037130,726,661,65
1037120,129,120,9
1035120,2664,2211,453
1016800,8015,6743,1272
1016000,46,43,3
1015890,365,281,84
986310,102,73,29
982720,1223,899,324
979690,12943,9949,2994
979310,95,81,14
977880,10684,9196,1488
971030,414,350,64
969760,797,761,36
950180,759,649,110
945740,62,29,33
944920,484,396,88
936790,8648,7893,755
933820,5922,4623,1299
927350,7294,3628,3666
924970,31899,20603,11296
918570,11155,8155,3000
917720,622,532,90
910490,3111,2250,861
907650,3070,1931,1139
898750,3592,3240,352
894020,8738,8295,443
886060,76,33,43
885970,7393,5320,2073
874260,4334,4206,128
865610,1252,770,482
861250,971,811,160
860510,17647,16892,755
858820,12735,9930,2805
848450,61788,56560,5228
844260,765,607,158
840390,471,286,185
840210,500,310,190
829280,569,557,12
814680,532,476,56
811320,1185,1106,79
795420,615,601,14
780310,9453,8745,708
780290,8629,7558,1071
775500,8795,7567,1228
773370,2533,2316,217
768520,2353,1689,664
768450,380,337,43
763890,11290,10773,517
762840,390,274,116
757310,1804,1546,258
752480,532,312,220
751630,1149,872,277
750200,142,84,58
740130,20743,18983,1760
738520,11627,9935,1692
735290,768,630,138
730430,113,83,30
729000,539,521,18
720350,643,620,23
686810,63425,53623,9802
680420,54100,35194,18906
674930,1275,1164,111
651490,158,132,26
645320,102,94,8
628200,243,201,42
623280,4368,2175,2193
607080,6351,6228,123
601840,11361,10822,539
599610,255,247,8
597820,15509,10535,4974
523770,182,147,35
493520,33572,29423,4149
377300,3016,2443,573
269190,2818,2212,606
1369630,15190,14489,701
1357860,543,503,40
1499120,653,630,23
1199030,5257,4832,425
1544360,1885,1557,328
989790,147,144,3
978520,3144,2622,522
700600,9424,6211,3213
1623390,40,27,13
921800,2994,2426,568
1732190,3655,2819,836
962700,55,45,10
1273690,142,117,25
